,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,0.9999999999999999,4.0239135425832665e-108,3.5862086899004515e-26,3.7672037768852786e-09,2.9421491579207505e-10,1.1843602088235137e-06,Next
1,0.9999999999999999,1.0,5.754002025029215e-99,1.5303686376217385e-24,9.339235440886531e-09,6.121055412990352e-10,1.5380490769147434e-06,DLIS
2,4.0239135425832665e-108,5.754002025029215e-99,1.0,2.1940298118963937e-22,1.6708516293473767e-48,1.2608276624002666e-36,8.431725487423507e-14,DLIS max
3,3.5862086899004515e-26,1.5303686376217385e-24,2.1940298118963937e-22,1.0,2.3900353206458936e-10,3.983232955915501e-07,0.03212209677649628,BOHM
4,3.7672037768852786e-09,9.339235440886531e-09,1.6708516293473767e-48,2.3900353206458936e-10,1.0,0.33318144088014195,0.008371705930520267,Pareto Dominant
5,2.9421491579207505e-10,6.121055412990352e-10,1.2608276624002666e-36,3.983232955915501e-07,0.33318144088014195,1.0,0.15082556261883642,Random Forest
6,1.1843602088235137e-06,1.5380490769147434e-06,8.431725487423507e-14,0.03212209677649628,0.008371705930520267,0.15082556261883642,1.0,Random
