,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,1.0000000000000009,0.0,0.0,4.2700463748032914e-188,7.276348814833284e-56,1.5853570142940789e-91,Next
1,1.0000000000000009,1.0,0.0,0.0,3.7635917793422315e-179,6.925041590210977e-54,1.1210671574569036e-89,DLIS
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DLIS max
3,0.0,0.0,0.0,1.0,1.5780087455577416e-169,2.0158666231459837e-235,1.6604039757721838e-62,BOHM
4,4.2700463748032914e-188,3.7635917793422315e-179,0.0,1.5780087455577416e-169,1.0,1.0667380692156376e-15,0.006879453260484517,Pareto Dominant
5,7.276348814833284e-56,6.925041590210977e-54,0.0,2.0158666231459837e-235,1.0667380692156376e-15,1.0,1.7419888712871327e-14,Random Forest
6,1.5853570142940789e-91,1.1210671574569036e-89,0.0,1.6604039757721838e-62,0.006879453260484517,1.7419888712871327e-14,1.0,Random
