,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,1.0,0.0,0.0,6.811562646034577e-175,1.978118709591846e-50,1.4840019175469248e-57,Next
1,1.0,1.0,0.0,0.0,1.6331530884557944e-166,1.2674245237329088e-48,2.1428214323737764e-56,DLIS
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DLIS max
3,0.0,0.0,0.0,1.0,8.802423270476712e-135,3.3348317440154448e-152,5.962128490245457e-53,BOHM
4,6.811562646034577e-175,1.6331530884557944e-166,0.0,8.802423270476712e-135,1.0,7.655332351525456e-17,3.100289854186545e-05,Pareto Dominant
5,1.978118709591846e-50,1.2674245237329088e-48,0.0,3.3348317440154448e-152,7.655332351525456e-17,1.0,6.741658325874525e-07,Random Forest
6,1.4840019175469248e-57,2.1428214323737764e-56,0.0,5.962128490245457e-53,3.100289854186545e-05,6.741658325874525e-07,1.0,Random
