,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,1.0,6.071292163156556e-15,0.802707075233065,1.0,1.0,1.0,Next
1,1.0,1.0,5.0091925115271774e-14,0.830263307190831,1.0,1.0,1.0,DLIS
2,6.071292163156556e-15,5.0091925115271774e-14,1.0,4.164683439357914e-08,7.645550487935619e-10,1.262338281408668e-07,0.00012049575443984608,DLIS max
3,0.802707075233065,0.830263307190831,4.164683439357914e-08,1.0,0.9432906499545602,0.98187283123331,0.9994748968610409,BOHM
4,1.0,1.0,7.645550487935619e-10,0.9432906499545602,1.0,1.0,1.0,Pareto Dominant
5,1.0,1.0,1.262338281408668e-07,0.98187283123331,1.0,1.0,1.0,Random Forest
6,1.0,1.0,0.00012049575443984608,0.9994748968610409,1.0,1.0,1.0,Random
