,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,2.7718820886755083e-13,0.0,0.0,1.0785387417899688e-101,4.299323853107336e-64,1.1006201438849056e-45,Next
1,2.7718820886755083e-13,1.0,0.0,2.5897631380093293e-266,5.546288720125753e-64,2.7967091162437945e-34,4.977546545259076e-32,DLIS
2,0.0,0.0,1.0,8.869283869576813e-96,5.0007688819785243e-293,2.6100092785471722e-251,6.325978440805038e-135,DLIS max
3,0.0,2.5897631380093293e-266,8.869283869576813e-96,1.0,3.9106127606810736e-64,1.2604124376382301e-65,2.155643594127826e-33,BOHM
4,1.0785387417899688e-101,5.546288720125753e-64,5.0007688819785243e-293,3.9106127606810736e-64,1.0,0.00648580282244959,0.2675925210970963,Pareto Dominant
5,4.299323853107336e-64,2.7967091162437945e-34,2.6100092785471722e-251,1.2604124376382301e-65,0.00648580282244959,1.0,0.0024068501545815167,Random Forest
6,1.1006201438849056e-45,4.977546545259076e-32,6.325978440805038e-135,2.155643594127826e-33,0.2675925210970963,0.0024068501545815167,1.0,Random
