,sudoku name,heuristic,DP_calls,backtracks,split_calls,split_time,assign_calls,assign_time,unit_clause_calls,unit_clause_time,solved_sudoku,solve_time
0,../data/hard_sudoku/damnhard_0.txt,Next,84,20,22,6.9141387939453125e-06,2909,3.3152055740356445,63,3.629974126815796,1,3.7101247310638428
1,../data/hard_sudoku/damnhard_1.txt,Next,10,0,4,5.9604644775390625e-06,729,2.239656686782837,9,2.46059250831604,1,2.4940080642700195
2,../data/hard_sudoku/damnhard_10.txt,Next,319,84,87,6.198883056640625e-06,9636,6.069995403289795,234,6.629708766937256,1,6.8270769119262695
3,../data/hard_sudoku/damnhard_11.txt,Next,104,26,28,6.9141387939453125e-06,4898,3.937407970428467,77,4.317700147628784,1,4.401817798614502
4,../data/hard_sudoku/damnhard_12.txt,Next,2015,528,534,8.821487426757812e-06,64203,16.683852672576904,1486,18.113593101501465,1,18.80244779586792
5,../data/hard_sudoku/damnhard_13.txt,Next,11,1,4,7.867813110351562e-06,776,2.4298219680786133,9,2.6796650886535645,1,2.715824842453003
6,../data/hard_sudoku/damnhard_14.txt,Next,11,2,3,1.1205673217773438e-05,974,2.5016286373138428,8,2.7633063793182373,1,2.8011059761047363
7,../data/hard_sudoku/damnhard_15.txt,Next,4,0,1,8.106231689453125e-06,729,2.3552653789520264,3,2.601210832595825,1,2.632014036178589
8,../data/hard_sudoku/damnhard_16.txt,Next,4,0,1,1.0967254638671875e-05,729,2.3753833770751953,3,2.619317054748535,1,2.6496851444244385
9,../data/hard_sudoku/damnhard_17.txt,Next,33,8,8,8.106231689453125e-06,2009,2.7732324600219727,24,3.054213523864746,1,3.0984480381011963
10,../data/hard_sudoku/damnhard_18.txt,Next,19,4,5,5.0067901611328125e-06,1053,2.4619710445404053,14,2.7129716873168945,1,2.75087308883667
11,../data/hard_sudoku/damnhard_19.txt,Next,958,247,252,9.059906005859375e-06,36769,14.428932666778564,710,15.738620042800903,1,16.218416213989258
12,../data/hard_sudoku/damnhard_2.txt,Next,44,10,14,8.106231689453125e-06,1871,2.917222261428833,33,3.1982877254486084,1,3.2569918632507324
13,../data/hard_sudoku/damnhard_20.txt,Next,49,10,14,5.245208740234375e-06,2137,2.896838665008545,38,3.1789872646331787,1,3.231764078140259
14,../data/hard_sudoku/damnhard_21.txt,Next,10,1,3,6.198883056640625e-06,752,2.3523004055023193,8,2.6016366481781006,1,2.6355230808258057
15,../data/hard_sudoku/damnhard_22.txt,Next,12,2,3,3.0994415283203125e-06,972,2.4657323360443115,9,2.723853588104248,1,2.7564361095428467
16,../data/hard_sudoku/damnhard_23.txt,Next,20,4,5,1.1920928955078125e-05,1039,2.577509880065918,15,2.8368401527404785,1,2.87648606300354
