,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,0.0004825714552246595,Next
1,8.178218366109996e-16,1.0,4.453850888386621e-06,5.26493344632936e-14,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,DLIS
2,8.178218366109996e-16,4.453850888386621e-06,1.0,6.778857894380555e-15,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,DLIS max
3,8.178218366109996e-16,5.26493344632936e-14,6.778857894380555e-15,1.0,2.946592754656901e-09,8.178218366109996e-16,8.178218366109996e-16,BOHM
4,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,2.946592754656901e-09,1.0,8.178218366109996e-16,8.178218366109996e-16,Pareto Dominant
5,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,1.0,8.178218366109996e-16,Random Forest
6,0.0004825714552246595,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,8.178218366109996e-16,1.0,Random
