,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,5.805308598980687e-34,6.982141428287512e-99,7.778230458948494e-24,3.108229965126695e-08,1.355576749880239e-31,1.4182739937332663e-06,Next
1,5.805308598980687e-34,1.0,5.483811314660653e-85,4.58842812870295e-20,0.0026066824584923347,5.909870993882747e-24,1.7276656842316264e-05,DLIS
2,6.982141428287512e-99,5.483811314660653e-85,1.0,1.6534015782264993e-14,5.81674171311389e-35,1.6749040354339557e-06,1.959238196100562e-09,DLIS max
3,7.778230458948494e-24,4.58842812870295e-20,1.6534015782264993e-14,1.0,3.9381734452438445e-07,4.175281011247903e-05,0.1912595264379613,BOHM
4,3.108229965126695e-08,0.0026066824584923347,5.81674171311389e-35,3.9381734452438445e-07,1.0,1.233497529172382e-11,0.021655173941201058,Pareto Dominant
5,1.355576749880239e-31,5.909870993882747e-24,1.6749040354339557e-06,4.175281011247903e-05,1.233497529172382e-11,1.0,0.0007307628453125636,Random Forest
6,1.4182739937332663e-06,1.7276656842316264e-05,1.959238196100562e-09,0.1912595264379613,0.021655173941201058,0.0007307628453125636,1.0,Random
