,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,1.0000000000000013,0.0,0.0,3.434763280705875e-145,2.542401369643931e-44,1.2078927313599534e-56,Next
1,1.0000000000000013,1.0,0.0,0.0,3.11066715008718e-138,9.431448404502514e-43,1.6770971403888016e-55,DLIS
2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,DLIS max
3,0.0,0.0,0.0,1.0,1.3224759465815214e-129,2.6178300585679253e-155,3.3230537588905455e-51,BOHM
4,3.434763280705875e-145,3.11066715008718e-138,0.0,1.3224759465815214e-129,1.0,2.0291879801075651e-13,0.01983353299710177,Pareto Dominant
5,2.542401369643931e-44,9.431448404502514e-43,0.0,2.6178300585679253e-155,2.0291879801075651e-13,1.0,5.443965563841341e-08,Random Forest
6,1.2078927313599534e-56,1.6770971403888016e-55,0.0,3.3230537588905455e-51,0.01983353299710177,5.443965563841341e-08,1.0,Random
