,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,5.805308598980687e-34,3.862334181371979e-97,9.415610207647851e-23,6.352934705986635e-07,3.271811408810747e-22,3.111839772872384e-06,Next
1,5.805308598980687e-34,1.0,4.68282448404488e-83,1.6090510026434705e-19,0.0002738381141496313,5.947024788570092e-09,1.7276656842316264e-05,DLIS
2,3.862334181371979e-97,4.68282448404488e-83,1.0,3.2559559365918343e-14,5.81674171311389e-35,3.4813059157917456e-17,1.959238196100562e-09,DLIS max
3,9.415610207647851e-23,1.6090510026434705e-19,3.2559559365918343e-14,1.0,3.9381734452438445e-07,0.00043681104082744543,0.3367288486030934,BOHM
4,6.352934705986635e-07,0.0002738381141496313,5.81674171311389e-35,3.9381734452438445e-07,1.0,1.639732481854159e-06,0.021655173941201058,Pareto Dominant
5,3.271811408810747e-22,5.947024788570092e-09,3.4813059157917456e-17,0.00043681104082744543,1.639732481854159e-06,1.0,0.03526361494220416,Random Forest
6,3.111839772872384e-06,1.7276656842316264e-05,1.959238196100562e-09,0.3367288486030934,0.021655173941201058,0.03526361494220416,1.0,Random
