,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,1.000000000000001,0.0,0.0,1.0165069521985136e-240,6.169388544941813e-66,4.566820149738086e-64,Next
1,1.000000000000001,1.0,0.0,0.0,2.1276204799467323e-229,1.1404223491836103e-63,8.763615794957643e-63,DLIS
2,0.0,0.0,1.0,2.3824061072039746e-229,0.0,0.0,3.979180287253109e-250,DLIS max
3,0.0,0.0,2.3824061072039746e-229,1.0,5.166566269181538e-132,2.481603121778383e-142,2.3776118550814978e-48,BOHM
4,1.0165069521985136e-240,2.1276204799467323e-229,0.0,5.166566269181538e-132,1.0,5.182666727854875e-26,3.4312230993748055e-19,Pareto Dominant
5,6.169388544941813e-66,1.1404223491836103e-63,0.0,2.481603121778383e-142,5.182666727854875e-26,1.0,3.0781596424641533e-06,Random Forest
6,4.566820149738086e-64,8.763615794957643e-63,3.979180287253109e-250,2.3776118550814978e-48,3.4312230993748055e-19,3.0781596424641533e-06,1.0,Random
