,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,6.434466862383316e-16,0.0,0.0,1.0856975698388928e-131,0.0,1.648410521092274e-46,Next
1,6.434466862383316e-16,1.0,0.0,8.334683085503917e-293,2.8593206464089586e-89,0.0,3.5620251871110895e-31,DLIS
2,0.0,0.0,1.0,2.4601853310627358e-88,9.240113826387624e-271,5.595339143531973e-53,6.117513259743137e-137,DLIS max
3,0.0,8.334683085503917e-293,2.4601853310627358e-88,1.0,1.9746461384805974e-60,1.6715561708525393e-143,1.0308478806047683e-38,BOHM
4,1.0856975698388928e-131,2.8593206464089586e-89,9.240113826387624e-271,1.9746461384805974e-60,1.0,2.053738911726957e-245,0.068210604551188,Pareto Dominant
5,0.0,0.0,5.595339143531973e-53,1.6715561708525393e-143,2.053738911726957e-245,1.0,5.702038753764431e-147,Random Forest
6,1.648410521092274e-46,3.5620251871110895e-31,6.117513259743137e-137,1.0308478806047683e-38,0.068210604551188,5.702038753764431e-147,1.0,Random
