,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,1.0000000000000004,4.0239135425832665e-108,6.193787392783557e-30,1.166984242318579e-10,4.793675807843852e-13,1.1843602088235137e-06,Next
1,1.0000000000000004,1.0,5.754002025029215e-99,5.301963756761705e-28,3.4179902259141384e-10,1.2459939685259884e-12,1.5380490769147434e-06,DLIS
2,4.0239135425832665e-108,5.754002025029215e-99,1.0,2.1940298118963937e-22,1.6708516293473767e-48,1.2608276624002666e-36,8.431725487423507e-14,DLIS max
3,6.193787392783557e-30,5.301963756761705e-28,2.1940298118963937e-22,1.0,2.3900353206458936e-10,3.3444941547615413e-08,0.03212209677649628,BOHM
4,1.166984242318579e-10,3.4179902259141384e-10,1.6708516293473767e-48,2.3900353206458936e-10,1.0,0.33318144088014195,0.008371705930520267,Pareto Dominant
5,4.793675807843852e-13,1.2459939685259884e-12,1.2608276624002666e-36,3.3444941547615413e-08,0.33318144088014195,1.0,0.07594664183621963,Random Forest
6,1.1843602088235137e-06,1.5380490769147434e-06,8.431725487423507e-14,0.03212209677649628,0.008371705930520267,0.07594664183621963,1.0,Random
