,Next,DLIS,DLIS max,BOHM,Pareto Dominant,Random Forest,Random,heuristic
0,1.0,1.0,3.83149064804466e-13,5.280458020901248e-05,0.039012855538379014,0.039012855538379014,1.5842888639379236e-05,Next
1,1.0,1.0,3.83149064804466e-13,5.280458020901248e-05,0.039012855538379014,0.039012855538379014,1.5842888639379236e-05,DLIS
2,3.83149064804466e-13,3.83149064804466e-13,1.0,6.6968528155939e-08,1.66929511860949e-11,2.6126496900078355e-12,5.605993508188749e-10,DLIS max
3,5.280458020901248e-05,5.280458020901248e-05,6.6968528155939e-08,1.0,0.0013231663239947618,0.0004825714552246595,0.018458809938192294,BOHM
4,0.039012855538379014,0.039012855538379014,1.66929511860949e-11,0.0013231663239947618,1.0,0.9570479511711469,0.0033994274382388545,Pareto Dominant
5,0.039012855538379014,0.039012855538379014,2.6126496900078355e-12,0.0004825714552246595,0.9570479511711469,1.0,0.018458809938192242,Random Forest
6,1.5842888639379236e-05,1.5842888639379236e-05,5.605993508188749e-10,0.018458809938192294,0.0033994274382388545,0.018458809938192242,1.0,Random
